Experiment ID                :  onemax
Problem Type                 :  OM
Data Input File Name         :  NA
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  1
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  9.0E-4
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  100


 R   1		 G 184		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 185		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G 186		 BestInG     100		 AvgOfG       99.87		 StDv       0.367		 95% ConfInt      99.797     99.943
 R   1		 G 187		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 188		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G 189		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G 190		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 191		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 192		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G 193		 BestInG     100		 AvgOfG       99.84		 StDv       0.395		 95% ConfInt      99.761     99.919
 R   1		 G 194		 BestInG     100		 AvgOfG       99.82		 StDv       0.386		 95% ConfInt      99.743     99.897
 R   1		 G 195		 BestInG     100		 AvgOfG       99.92		 StDv       0.339		 95% ConfInt      99.852     99.988
 R   1		 G 196		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 197		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G 198		 BestInG     100		 AvgOfG       99.86		 StDv       0.349		 95% ConfInt       99.79      99.93
 R   1		 G 199		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
1     45###########   RawFitness
                -70          100

 R   2		 G   0		 BestInG      62		 AvgOfG       48.87		 StDv       5.654		 95% ConfInt      47.739     50.001
 R   2		 G   1		 BestInG      65		 AvgOfG       52.22		 StDv        4.64		 95% ConfInt      51.292     53.148
 R   2		 G   2		 BestInG      67		 AvgOfG       54.49		 StDv       4.256		 95% ConfInt      53.639     55.341
 R   2		 G   3		 BestInG      70		 AvgOfG        56.7		 StDv       4.186		 95% ConfInt      55.863     57.537
 R   2		 G   4		 BestInG      71		 AvgOfG       59.15		 StDv       4.384		 95% ConfInt      58.273     60.027
 R   2		 G   5		 BestInG      71		 AvgOfG       61.73		 StDv       4.761		 95% ConfInt      60.778     62.682
 R   2		 G   6		 BestInG      73		 AvgOfG       64.44		 StDv       4.231		 95% ConfInt      63.594     65.286
 R   2		 G   7		 BestInG      73		 AvgOfG       66.49		 StDv       3.868		 95% ConfInt      65.716     67.264
 R   2		 G   8		 BestInG      77		 AvgOfG       68.69		 StDv       3.348		 95% ConfInt       68.02      69.36
 R   2		 G   9		 BestInG      76		 AvgOfG       70.58		 StDv       2.622		 95% ConfInt      70.056     71.104
 R   2		 G  10		 BestInG      77		 AvgOfG        71.9		 StDv       2.342		 95% ConfInt      71.432     72.368
 R   2		 G  11		 BestInG      78		 AvgOfG       72.74		 StDv       2.415		 95% ConfInt      72.257     73.223
 R   2		 G  12		 BestInG      79		 AvgOfG       74.03		 StDv       1.997		 95% ConfInt      73.631     74.429
 R   2		 G  13		 BestInG      80		 AvgOfG       75.02		 StDv        1.99		 95% ConfInt      74.622     75.418
 R   2		 G  14		 BestInG      80		 AvgOfG       75.77		 StDv       1.863		 95% ConfInt      75.397     76.143
 R   2		 G  15		 BestInG      81		 AvgOfG       76.63		 StDv       1.625		 95% ConfInt      76.305     76.955
 R   2		 G  16		 BestInG      82		 AvgOfG       77.34		 StDv       1.578		 95% ConfInt      77.024     77.656
 R   2		 G  17		 BestInG      82		 AvgOfG       78.32		 StDv       1.651		 95% ConfInt       77.99      78.65
 R   2		 G  18		 BestInG      82		 AvgOfG        79.3		 StDv       1.642		 95% ConfInt      78.972     79.628
 R   2		 G  19		 BestInG      83		 AvgOfG       80.23		 StDv       1.384		 95% ConfInt      79.953     80.507
 R   2		 G  20		 BestInG      84		 AvgOfG       80.88		 StDv       1.157		 95% ConfInt      80.649     81.111
 R   2		 G  21		 BestInG      85		 AvgOfG       81.46		 StDv       1.337		 95% ConfInt      81.193     81.727
 R   2		 G  22		 BestInG      85		 AvgOfG       82.07		 StDv       1.373		 95% ConfInt      81.795     82.345
